demand_base_MW,renewable_scale,wind_peak_MW,solar_peak_MW,negative_hours,minimum_price_EUR_MWh,average_price_EUR_MWh
75,1.7,84.99999999999999,67.99999999999999,7,-10,8.75
80,1.7,84.99999999999999,67.99999999999999,6,-10,14.166666666666666
85,1.7,84.99999999999999,67.99999999999999,5,-10,16.25
90,1.7,84.99999999999999,67.99999999999999,3,-10,23.75
95,1.7,84.99999999999999,67.99999999999999,0,0,32.5
100,1.7,84.99999999999999,67.99999999999999,0,0,35.833333333333336
105,1.7,84.99999999999999,67.99999999999999,0,0,44.166666666666664
110,1.7,84.99999999999999,67.99999999999999,0,40,47.5
115,1.7,84.99999999999999,67.99999999999999,0,40,50.0
120,1.7,84.99999999999999,67.99999999999999,0,40,52.5
30,1.8,89.99999999999999,72.0,24,-10,-10.0
35,1.8,89.99999999999999,72.0,24,-10,-10.0
40,1.8,89.99999999999999,72.0,19,-10,-7.916666666666667
45,1.8,89.99999999999999,72.0,17,-10,-7.083333333333333
50,1.8,89.99999999999999,72.0,14,-10,-4.166666666666667
55,1.8,89.99999999999999,72.0,13,-10,-3.75
60,1.8,89.99999999999999,72.0,11,-10,0.4166666666666667
65,1.8,89.99999999999999,72.0,11,-10,0.4166666666666667
70,1.8,89.99999999999999,72.0,9,-10,2.9166666666666665
75,1.8,89.99999999999999,72.0,8,-10,6.666666666666667
80,1.8,89.99999999999999,72.0,7,-10,8.75
85,1.8,89.99999999999999,72.0,6,-10,14.166666666666666
90,1.8,89.99999999999999,72.0,5,-10,16.25
95,1.8,89.99999999999999,72.0,3,-10,23.75
100,1.8,89.99999999999999,72.0,0,0,32.5
105,1.8,89.99999999999999,72.0,0,0,35.833333333333336
110,1.8,89.99999999999999,72.0,0,0,42.5
115,1.8,89.99999999999999,72.0,0,40,47.5
120,1.8,89.99999999999999,72.0,0,40,50.0
30,1.9,94.99999999999999,75.99999999999999,24,-10,-10.0
35,1.9,94.99999999999999,75.99999999999999,24,-10,-10.0
40,1.9,94.99999999999999,75.99999999999999,20,-10,-8.333333333333334
45,1.9,94.99999999999999,75.99999999999999,17,-10,-7.083333333333333
50,1.9,94.99999999999999,75.99999999999999,16,-10,-6.666666666666667
55,1.9,94.99999999999999,75.99999999999999,14,-10,-4.166666666666667
60,1.9,94.99999999999999,75.99999999999999,13,-10,-3.75
65,1.9,94.99999999999999,75.99999999999999,11,-10,0.4166666666666667
70,1.9,94.99999999999999,75.99999999999999,11,-10,0.4166666666666667
75,1.9,94.99999999999999,75.99999999999999,9,-10,4.583333333333333
80,1.9,94.99999999999999,75.99999999999999,8,-10,6.666666666666667
85,1.9,94.99999999999999,75.99999999999999,7,-10,8.75
90,1.9,94.99999999999999,75.99999999999999,6,-10,14.166666666666666
95,1.9,94.99999999999999,75.99999999999999,5,-10,16.25
100,1.9,94.99999999999999,75.99999999999999,3,-10,22.083333333333332
105,1.9,94.99999999999999,75.99999999999999,0,0,32.5
110,1.9,94.99999999999999,75.99999999999999,0,0,34.166666666666664
115,1.9,94.99999999999999,75.99999999999999,0,0,42.5
120,1.9,94.99999999999999,75.99999999999999,0,40,47.5
30,2.0,99.99999999999997,79.99999999999999,24,-10,-10.0
35,2.0,99.99999999999997,79.99999999999999,24,-10,-10.0
40,2.0,99.99999999999997,79.99999999999999,22,-10,-9.166666666666666
45,2.0,99.99999999999997,79.99999999999999,19,-10,-7.916666666666667
50,2.0,99.99999999999997,79.99999999999999,17,-10,-7.083333333333333
55,2.0,99.99999999999997,79.99999999999999,14,-10,-4.166666666666667
60,2.0,99.99999999999997,79.99999999999999,13,-10,-3.75
65,2.0,99.99999999999997,79.99999999999999,12,-10,-1.6666666666666667
70,2.0,99.99999999999997,79.99999999999999,11,-10,0.4166666666666667
75,2.0,99.99999999999997,79.99999999999999,9,-10,2.9166666666666665
80,2.0,99.99999999999997,79.99999999999999,9,-10,4.583333333333333
85,2.0,99.99999999999997,79.99999999999999,8,-10,6.666666666666667
90,2.0,99.99999999999997,79.99999999999999,7,-10,8.75
95,2.0,99.99999999999997,79.99999999999999,6,-10,14.166666666666666
100,2.0,99.99999999999997,79.99999999999999,5,-10,16.25
105,2.0,99.99999999999997,79.99999999999999,3,-10,24.583333333333332
110,2.0,99.99999999999997,79.99999999999999,0,0,32.5
115,2.0,99.99999999999997,79.99999999999999,0,0,36.666666666666664
120,2.0,99.99999999999997,79.99999999999999,0,0,40.833333333333336
30,2.1,104.99999999999999,83.99999999999999,24,-10,-10.0
35,2.1,104.99999999999999,83.99999999999999,24,-10,-10.0
40,2.1,104.99999999999999,83.99999999999999,24,-10,-10.0
45,2.1,104.99999999999999,83.99999999999999,20,-10,-8.333333333333334
50,2.1,104.99999999999999,83.99999999999999,17,-10,-7.083333333333333
55,2.1,104.99999999999999,83.99999999999999,16,-10,-6.666666666666667
60,2.1,104.99999999999999,83.99999999999999,14,-10,-4.166666666666667
65,2.1,104.99999999999999,83.99999999999999,13,-10,-3.75
70,2.1,104.99999999999999,83.99999999999999,11,-10,0.4166666666666667
75,2.1,104.99999999999999,83.99999999999999,11,-10,0.4166666666666667
80,2.1,104.99999999999999,83.99999999999999,9,-10,2.9166666666666665
85,2.1,104.99999999999999,83.99999999999999,9,-10,4.583333333333333
90,2.1,104.99999999999999,83.99999999999999,7,-10,8.75
95,2.1,104.99999999999999,83.99999999999999,7,-10,8.75
100,2.1,104.99999999999999,83.99999999999999,6,-10,14.166666666666666
105,2.1,104.99999999999999,83.99999999999999,5,-10,16.25
110,2.1,104.99999999999999,83.99999999999999,3,-10,24.583333333333332
115,2.1,104.99999999999999,83.99999999999999,0,0,32.5
120,2.1,104.99999999999999,83.99999999999999,0,0,39.166666666666664
30,2.2,109.99999999999999,87.99999999999999,24,-10,-10.0
35,2.2,109.99999999999999,87.99999999999999,24,-10,-10.0
